ds,y
             2016 04 30,0.00752
             2016 04 30,0.08909
             2016 04 30,0.05339
             2016 04 30,0.096
             2016 04 30,0.1555
             2016 04 29,0.16001
             2016 04 29,0.01281
             2016 04 29,0.25805
             2016 04 27,0.01474
             2016 04 28,0.04493
             2016 04 22,0.02991
             2016 04 25,0.06693
             2016 04 26,0.06098
             2016 04 21,0.01848
             2016 04 19,0.00787
             2016 04 17,0.01267
             2016 04 17,0.01013
             2016 04 05,0.16667
             2016 04 14,0.04637
             2016 04 15,0.03159
             2016 04 15,0.01646
             2016 04 15,0.01087
             2016 04 15,0.0073
             2016 04 14,0.1266
             2016 04 14,0.01855
             2016 04 14,0.02115
             2016 04 14,0.00209
             2016 04 13,0.02002
             2016 04 05,0.05763
             2016 04 12,0.10121
             2016 04 13,0.02489
             2016 04 13,0.00095
             2016 04 11,0.02328
             2016 04 11,0.01181
             2016 04 11,0.07525
             2016 04 10,0.28143
             2016 04 10,0.14945
             2016 04 03,0.04389
             2016 04 09,0.00043
             2016 04 05,0.07881
             2016 04 04,0.15928
             2016 04 03,0.01936
             2016 04 04,0.19117
             2016 04 04,0.15573
             2016 04 04,0.07099
             2016 04 04,0.018
             2016 04 04,0.10927
             2016 04 03,0.00887
             2016 04 05,0.00083
             2016 04 01,0.03505
             2016 04 06,0.00085
             2016 04 05,0.00038
             2016 04 04,0.03333
             2016 04 04,0.01325
             2016 04 03,0.00406
             2016 04 02,0.00449
             2016 04 05,0.05313
             2016 04 03,0.05536
             2016 04 03,0.01829
             2016 04 03,0.04786
             2016 04 03,0.02784
             2016 04 01,0.0085
             2016 04 01,0.18226
             2016 04 02,0.00064
             2016 04 02,0.01026
             2016 04 02,0.02738
             2016 04 02,0.02063
             2016 04 02,0.00455
             2016 04 02,0.00325
             2016 04 02,0.00258
